msp_name,SAMEA2466922,SAMEA2467056,SAMEA2467068,SAMEA2467065,SAMEA2467032,SAMEA2467085,SAMEA2466902,SAMEA2467021,SAMEA2467070,SAMEA2467057,SAMEA2467034,SAMEA2467059,SAMEA2467010,SAMEA2467072,SAMEA2467066,SAMEA2467077,SAMEA2466917,SAMEA2467054,SAMEA2467013,SAMEA2466932,SAMEA2467082,SAMEA2466918,SAMEA2467033,SAMEA2466967,SAMEA2467048,SAMEA2466910,SAMEA2466928,SAMEA2466939,SAMEA2466997,SAMEA2466899,SAMEA2467025,SAMEA2466934,SAMEA2467023,SAMEA2466915,SAMEA2466996,SAMEA2466913,SAMEA2466940,SAMEA2466903,SAMEA2466898,SAMEA2467036,SAMEA2466980,SAMEA2466904,SAMEA2467049,SAMEA2466900,SAMEA2466936,SAMEA2467016,SAMEA2466943,SAMEA2466897,SAMEA2466950,SAMEA2466937,SAMEA2466889,SAMEA2467003,SAMEA2467002,SAMEA2467039,SAMEA2466975,SAMEA2467076,SAMEA2466921,SAMEA2466935,SAMEA2466947,SAMEA2466891,SAMEA2466901,SAMEA2467058,SAMEA2466916,SAMEA2466912,SAMEA2466973,SAMEA2467067,SAMEA2467006,SAMEA2467069,SAMEA2466993,SAMEA2466945,SAMEA2467075,SAMEA2467001,SAMEA2466960,SAMEA2466988,SAMEA2467027,SAMEA2466984,SAMEA2466999,SAMEA2466914,SAMEA2467044,SAMEA2466924,SAMEA2466895,SAMEA2467019,SAMEA2467014,SAMEA2467084,SAMEA2466981,SAMEA2466959,SAMEA2466887,SAMEA2466948,SAMEA2467008,SAMEA2467042,SAMEA2467074,SAMEA2466907,SAMEA2467012,SAMEA2466968,SAMEA2466972,SAMEA2466911,SAMEA2466933,SAMEA2467017,SAMEA2467052,SAMEA2466926,SAMEA2467050,SAMEA2466963,SAMEA2466892,SAMEA2466986,SAMEA2467053,SAMEA2467062,SAMEA2466989,SAMEA2466952,SAMEA2467024,SAMEA2467037,SAMEA2466971,SAMEA2467031,SAMEA2466888,SAMEA2467035,SAMEA2466905,SAMEA2466958,SAMEA2467020,SAMEA2467018,SAMEA2466925,SAMEA2467009,SAMEA2467030,SAMEA2466923,SAMEA2466964,SAMEA2466970,SAMEA2466949,SAMEA2467078,SAMEA2466983,SAMEA2467055,SAMEA2466992,SAMEA2467026,SAMEA2467004,SAMEA2466965,SAMEA2466995,SAMEA2467041,SAMEA2467029,SAMEA2466955,SAMEA2467038,SAMEA2466957,SAMEA2466974,SAMEA2467073,SAMEA2467045,SAMEA2467028,SAMEA2467011,SAMEA2467047,SAMEA2467015,SAMEA2466991,SAMEA2467040,SAMEA2467060,SAMEA2466944,SAMEA2466894,SAMEA2467071,SAMEA2466930,SAMEA2466954,SAMEA2467051,SAMEA2466942,SAMEA2466953,SAMEA2466890,SAMEA2466938,SAMEA2466979,SAMEA2466977,SAMEA2466966,SAMEA2466951,SAMEA2466961,SAMEA2466976,SAMEA2466931,SAMEA2466908,SAMEA2467081,SAMEA2466946,SAMEA2466896,SAMEA2467064,SAMEA2466987,SAMEA2466927,SAMEA2466962,SAMEA2467046,SAMEA2466941,SAMEA2466998,SAMEA2467022,SAMEA2467063,SAMEA2467079,SAMEA2466956,SAMEA2466893,SAMEA2467080,SAMEA2467043,SAMEA2467061,SAMEA2466969,SAMEA2467083,SAMEA2466906
msp_0874,0.0,0.0025135608078976,0.0,0.0,0.0,0.0,0.0,0.0003274940439851,0.0,0.0003154210740058,0.0002048894280311,0.0,0.0,0.0,0.0002319630394612,0.0,0.0,0.0007839490769386,0.0005573852967875,0.0003436858230988,0.0,0.0002642761798556,0.0,0.0002861217749908,0.0,0.0021799813177695,0.0007566599534836,0.000263381577687,0.0,0.0001404794464097,0.0,0.0001985652065757,0.0,0.0,0.0002581105991331,0.0,0.0,0.0002109210106468,0.0001389662962965,0.0,0.0,0.0,0.0011298076165609,0.0,0.0,0.0,0.000656640231327,0.0,0.0005815092027154,0.002280231996844,0.0002129296009446,0.0,0.0004125705861202,0.0016911495165502,0.0,0.0003839955695203,0.000206308490683,0.0009153878854987,0.0028564334826525,0.0002101395321425,0.0,0.0010035929512327,0.0,0.0,0.0,0.0,0.0002466110265903,0.0,0.0007427545630759,0.0002758269198768,0.0005753118026621,0.0,0.0,0.0004983494435277,0.0002071337952854,0.0001863891900974,0.0,0.0009933640759638,0.0004418068436159,0.0008971706300974,0.0007391110709021,0.0001729623493085,0.0,0.0,0.0,0.0001691174314493,0.0001866108914315,0.0003939923346025,0.0002222745680494,0.0004546078047526,0.0001708558011175,0.0,0.0002036342394847,0.0,0.0,0.0001892071959091,0.0,0.0,0.0004414442861978,0.0003112402358963,0.0,0.0003392821075497,0.000210499637231,0.0006574102450248,0.0,0.0,0.000149247020329,0.0,0.0001801636171725,0.001152955698447,0.0,0.000235525804012,0.0004247281256119,0.0002187595532987,0.0,0.0013504070930319,0.0001670751814207,0.0,0.0004129394904362,0.0,0.0003553208337587,0.0,0.0002323927227506,0.0030442151228395,0.0002061570751844,0.0007508677893274,0.0006884824780209,0.0023429409997351,0.0,0.0,0.0,0.0036877062399515,0.0004247335053616,0.0,0.0002738104275858,0.0006365127523096,0.0,0.0004083739722877,0.0001942373544802,0.0,0.0,0.0,0.000445224523511,0.0003487290910701,0.0,0.0,0.0,0.000779379354931,0.0,0.0,0.0,0.0,0.0002626549638896,0.0,0.0001478638886362,0.0002342073506935,0.0,0.001144243666032,0.0004427102169493,0.0004068072821726,0.0,0.0002213404642747,0.0,0.0,0.0025029299159961,0.0002439896821901,0.0,0.0,0.0003491385215405,0.0029103764250814,0.0,0.004371874013728,0.00114757104917,0.0001656342949241,0.0,0.0,0.0,0.0004066242924048,0.0,0.0003111137281099,0.0002522095386605,0.0,0.0,0.0001680738243378,0.0006364215972197,0.0,0.0002362485940177
msp_1193,0.0001414703702968,0.0,0.0004716951116519,0.0,0.0,0.0,0.0,0.0,0.0002764985471373,0.0003939534239962,0.0,0.0,0.0,0.0,0.0036596002008848,0.0002583169818866,0.0005395190098889,0.0003199016729742,0.0,0.0,0.0,0.0,0.0,0.0,0.000814096599084,0.0,0.0004290882440369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012647539446195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002822886797854,0.0,0.0,0.0,0.0,0.0,0.0,0.0008428199892778,0.0,0.0,0.0,0.0,0.0,0.0006005522301544,0.0002313594598115,0.0,0.0,0.0,0.0,0.0,0.0003734940840252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002726527880823,0.0,0.0,0.0001970006889087,0.0,0.0,0.0,0.0023591117960416,0.0,0.0,0.0001770848981521,0.0,0.0039147426234282,0.0001963440229952,0.0,0.0,0.0,0.0,0.0002232403369295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007623528951299,0.0,0.0002685069066371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002841509615793,0.0,0.0005013158174536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009594475886799,0.0,0.0,0.0,0.0009245307654161,0.0003645044861791,0.0005010559834127,0.0,0.0,0.0004462507709706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020741090570047,0.0,0.000242750826463,0.0004323116316703,0.0,0.0,0.0,0.0071878168625843,0.0,0.0,0.0,0.0008018014151882,0.0002749932647278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
msp_0049,0.0001320072716252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001216424765449,0.0,0.0,0.0001830616493265,0.0,0.0,0.0039115087608365,0.0,0.0,0.0001371992289644,0.0,0.0,0.0,0.0,0.0,0.0001856703236802,0.0002297189325863,0.0001782259657002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001874427065718,0.0,0.0001962592749817,0.000193723214288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000243868444729,0.0001432806013625,0.0001203801698362,0.0,0.000185701293317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001614167935237,0.0,0.0001434652421248,0.0,0.0004143313849152,0.0,0.0,0.0,0.0001386905540423,0.0,0.0,0.0,0.0001260548645516,0.0001134291547408,0.0,0.0001245949887609,0.0,0.0,0.0,0.0,0.0,0.0,0.0013654225205973,0.0,0.0,0.0,0.0,0.0,0.0,0.0003121409475309,0.0,0.0,0.0,0.0006799696886271,0.0,0.0,0.0,0.0,0.0001592558324141,0.0,0.0001545050108122,0.0003500596938903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000152284180225,0.0001619581880266,0.0,0.0,0.0001400450875507,0.0,0.0,0.0,0.0,0.0,0.0,0.0001365137396881,0.0,0.0001910526129741,0.0,0.0,0.0002118365207888,0.0,0.0001343509645099,0.0,0.0,0.0,0.0,0.0,0.0001287449783093,0.0,0.0,0.0,0.0,0.0002565875903581,0.0001263307069851,0.0,0.0,0.0001508030790529,0.0001929174837998,0.0,0.0,0.0,0.0025821911927565,0.0002276219977571,0.0001135355466941,0.0,0.0,0.0,0.0001917851457839,0.0,0.0,0.0001493414873822,0.0,0.0001663809494153,0.0001667151539404,0.0,0.0001539011196732,0.0,0.000229016780553,0.000155714851154,0.0036369385900909,0.0001704485681126,0.0,0.0,0.0001929812036338,0.0,0.0,0.000173330009796,0.0,0.0,0.0,0.0,0.0002150678657077,0.0,0.0,0.0001361966365675,0.0001411206721995
msp_0062,0.0001358696769347,0.0016132151610246,0.0001873930762241,0.0021435969458634,0.0001407662384295,0.0044776684910989,0.0028731899337042,0.0013656565125126,0.0,0.0012158660861086,0.0018096110150126,0.0,0.0037595882035458,0.0007501853780217,0.0060463107499704,0.0028460037173381,0.0,0.0022049495527019,0.0023752841276628,0.0040603768014132,0.0008047177052152,0.0028507878643974,0.0062230265627655,0.0009868412181553,0.0010977202598485,0.0001381952516891,0.0047335824314363,0.0009713198865555,0.0017701413048165,0.0015892439066135,0.0025509675277864,0.0023847184184138,0.0013031571839107,0.0011080131247926,0.0116643410121501,0.0,0.0020667657783777,0.0016663515235245,0.0016335039471991,0.0070984816705843,0.0007283231810749,0.0005397949185695,0.0026156899041156,0.0001542348192627,0.0024257687464469,0.0075745989073247,0.0024703795123252,0.0021005038618531,0.0029330888010752,0.0003687109543351,0.0017961835524458,0.0011342001207965,0.0268614332238537,0.0010268706145051,0.0021326153495392,0.0062056214984329,0.0033695616880952,0.0010499725037672,0.0054407592903656,0.0036721599125329,0.0017432364056472,0.000128130880087,0.0006897737180337,0.0018319134949711,0.0032766219307057,0.0032323445360349,0.0016313022655947,0.00206728774902,0.0004738746618991,0.0039011393013453,0.0039799397199418,0.0002147842849725,0.0035781176505545,0.0006673201691659,0.0024269303805668,0.0037993892883395,0.0007671725376735,0.0002343867372498,0.0023222861890351,0.0034139971496431,0.0016338980064626,0.0007268810207682,0.0008150626605561,0.0001197861681031,0.0007018103919284,0.0010926863944877,0.0023359890706151,0.0025812790102846,0.0002548172386982,0.00201821153862,0.0042513148257384,0.0006163373115174,0.0025051935133607,0.000133211824766,0.0048690050767511,0.002886513086755,0.0001692609878833,0.0009254193644074,0.0046132038241414,0.0018699244675146,0.004222192033789,0.0066081502745217,0.0054597120887139,0.0031336325541531,0.0,0.0029385061257488,0.0007892426445318,0.0008935776941268,0.0020181741275205,0.0047373337456096,0.0011875535134792,0.0002382043073394,0.0045710145312867,0.0031549869703237,0.0005781555358182,0.0043633440029536,0.0007718319280814,0.0,0.0025862064083279,0.0001997720434022,0.0001456698494598,0.0004262034278988,0.0014821077002962,0.0001892026558158,0.0057138236153427,0.0036796623998162,0.0142703631699494,0.0016599898374658,0.000921012068852,0.0024695440542172,0.0086976076171303,0.0008671916378751,0.0026174531972033,0.0034386200612402,0.0007995519254264,0.0024791752520017,0.0057587802725072,0.0041922486601196,0.0021693083154875,0.0017291253795156,0.0026421917530549,0.0012090102582733,0.0025126090868768,0.0,0.0030836483709624,0.0033549498715286,0.0037811909555071,0.0020027552398159,0.0002124281644269,0.0006439483937063,0.0039790842639039,0.0099776513666931,0.0044175481321208,0.0057369655277428,0.0013707606664495,0.0025309260321276,0.0028386686468768,0.0010768552622013,0.0022989104069174,0.0033369199284797,0.0001668705139183,0.0005747118081953,0.0001695308946272,0.0025909184261053,0.0,0.001551983142474,0.00486467113429,0.0173767989325984,0.0008016610845699,0.0031074475682948,0.0001687345355319,0.0127719177211417,0.0001630796626682,0.0024232979068549,0.0021157731580676,0.0001568857308274,0.001431339052553,0.0014350257478542,0.0001598982920133,0.0073480481169339,0.0022433899491479,0.002602949925033,0.0001588670515915,0.00059462710263,0.0003162558201563,0.0015427572256254,0.0020328084453495
msp_1327,0.0,0.0003166613522615,0.0004781760544208,0.0,0.0003499584621024,0.0,0.0,0.0003227766564639,0.0005018755293459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004925325086505,0.0,0.0,0.0,0.0,0.0003500166723203,0.0,0.0,0.0,0.0008271627017936,0.0,0.0,0.0,0.0,0.0,0.0,0.0006628839092409,0.0042607150024445,0.0,0.0,0.0,0.0,0.0002401800767015,0.0,0.000467085704212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003360215400973,0.0,0.0,0.0,0.0,0.0017972751729788,0.0,0.0,0.0,0.0,0.0,0.0,0.0005805791965221,0.0,0.0043335920014542,0.0,0.0,0.0,0.0006171202812015,0.0,0.0,0.0,0.0,0.0,0.0,0.0018344834312223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005788846155928,0.0003099331903755,0.0,0.0,0.0004064061710632,0.0,0.0004665693124004,0.0094765227086531,0.0,0.0002383360893072,0.0,0.0,0.0005188670055184,0.0004637893348796,0.0008812369804732,0.0,0.0,0.0,0.0005525318929546,0.0,0.0,0.000302520203229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003450509815533,0.0,0.0006512268442154,0.0008660271266311,0.0,0.0,0.0,0.0006079551048928,0.0,0.0,0.0,0.0,0.0004533132633839,0.0,0.0005268353415614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007511652447052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006820856606248,0.0,0.0,0.0003625349028391,0.0,0.0,0.0,0.0,0.0,0.0,0.0022775060146639,0.0,0.0,0.0,0.0,0.0,0.0003307912908152,0.0024890849969766,0.0,0.0,0.0,0.0004590472123966,0.0004604027473355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
msp_0551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002999062394153,0.0,0.0,0.0,0.0002018612131174,0.0,0.0,0.0,0.000588239882266,0.0,0.0016743061691617,0.0,0.0,0.0022774600790281,0.0015744718324946,0.0,0.0,0.0,0.0007941545128274,0.0,0.001696737131738,0.0,0.0002261307140156,0.0,0.0027476717342084,0.0027454365841659,0.0011941558557653,0.0,0.0,0.0001401112260358,0.0,0.0,0.0,0.0,0.0,0.0002985166883864,0.0,0.0,0.0008263438667872,0.0,0.0,0.0,0.0013984434923266,0.0036335388964982,0.0,0.0,0.0,0.0,0.0,0.0,0.0001946277809892,0.0,0.0,0.0,0.0,0.0001974082693664,0.0,0.0002047319850319,0.0007848311574993,0.0,0.0,0.0,0.0,9.536466583024707e-05,0.0,0.0,0.0,0.0,0.0,0.0006961993540367,0.0,0.0001755166967572,0.0,0.0,0.0018844264133703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007454934063493,0.0,0.0,0.0004394851485892,0.0,0.0006491863951514,0.0003614379201694,0.0,0.0,0.0,0.0,0.0028412389392504,0.0,0.0042455718176727,0.0,0.0013408110617006,0.0,0.0010154836612609,0.0,0.0001951430890474,0.0029224940782302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002274750034541,0.0,0.0,0.0,0.0,0.0,0.0003777727693887,0.0,0.0,0.0002056410856154,0.0,0.0,0.0005594573314567,0.0,0.0015360295068626,0.0004425233151461,0.0016024089419539,0.0,0.0,0.0014655283925298,0.0,0.0,0.0,0.0,0.0047207089531701,0.0014470371861383,0.0,0.0,0.0,0.0,0.0025274982609466,0.0044978196558969,0.0,0.0,0.0,0.0001999767713283,0.0,0.0,0.0,0.0064016235490941,0.0027107837946084,0.0001765846470338,0.0,0.0,0.0015098068764302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012025234931127,0.0,0.0,0.0,0.0,0.0,0.0001875153180139
msp_0910,0.0030860414219278,0.0,0.0,0.0,0.0004050583898661,0.0010408106073713,0.0005357847782435,0.0,0.0,0.0,0.0003029369741778,0.0,0.0,0.0,0.0,0.0,0.0,0.000997154762226,0.0,0.0,0.0,0.004176459985317,0.0,0.0,0.0,0.0,0.0003835542828848,0.0,0.0,0.0026808055274538,0.0001727198923462,0.0,0.0,0.0,0.0,0.0,0.0004040852033175,0.0,0.0015248393097901,0.0031899756055055,0.0152935660755333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023220661636412,0.0,0.0,0.0,0.0,0.0,0.002333080879844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000439359623289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0269279692473056,0.0,0.0,0.0,0.0,0.0,0.0,0.006202465911453,0.0202991811510408,0.0,0.0,0.0,0.0003972753033039,0.0,0.0,0.0048574195441885,0.0,0.0029607056427441,0.0055897289363426,0.0,0.0,0.0,0.0,0.0002772696110456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003011889778688,0.0,0.0,0.0004328992174259,0.0084954591810447,0.0,0.0,0.0003388611232489,0.0,0.0,0.0,0.0,0.0083783692603776,0.0,0.0,0.0241624890283081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003249205170253,0.0,0.0081972643554284,0.0,0.0,0.0,0.0006865813465279,0.0,0.0,0.0013548401094216,0.0019076913698088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0228332872901181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002961474263231,0.0,0.0,0.0003509005660724,0.0,0.0,0.0,0.0015280497685681,0.0,0.0,0.0001926027033774,0.0,0.0,0.0,0.0,0.0216641665156457,0.0,0.0
msp_0300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001574837440167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0265608556619552,0.0,0.0,0.0,0.0002100455801129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001221852018007,0.0,0.0060451076467747,0.0342240308871982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002966811232617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0342814831792365,0.0,0.0,0.0,0.0,0.0497067392488008,0.0001866026510857,0.0012092522766461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006769380780788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053487151300806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042267340287674,0.0,0.0,0.0,0.0,0.0,0.0002333595988921,0.0,0.0,0.0,0.0130079328283091,0.0,0.0,0.0,0.0002874793451897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0289870085902428,0.0,0.0,0.0,0.0,0.0112785283109997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002980327963483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003799918521383,0.0,0.0,0.0,0.0001462355583293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0547816162672517,0.0,0.0
msp_1477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053318935505101,0.0,0.0,0.0,0.0002961037891154,0.0002348929063156,0.0,0.0001543042962083,0.0,0.0,0.0,0.0,0.0,0.0016013051046796,0.0013228548603917,0.0,0.0001595274615404,0.0,0.0008139912071574,0.0,0.0,0.000164894437289,0.0,0.0005032895624131,0.0,0.0001738532615871,0.0,0.0002852590625532,0.0,0.0002662695083764,0.0,0.0,0.0003230181720904,0.0006059735056599,0.0,0.0,0.0001711557538695,0.0,0.0,0.0,0.0,0.0003125139048994,0.0,0.0,0.0003246440563044,0.0,0.000181089450753,0.0,0.0,0.0002316566426894,0.0,0.0,0.0,0.0,0.0,0.0,0.0001718306834955,0.0,0.0,0.0005346082775633,0.0,0.0,0.0,0.0001876111355378,0.0002040864394378,0.0,0.0002067819540466,0.0002602576395682,0.0,0.0,0.0005622849405099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002363686021849,0.0034013440370219,0.0,0.0,0.0002051707776622,0.0,0.0,0.0,0.0,0.0003050865555925,0.0,0.0,0.0002405178521583,0.0001999144528963,0.0,0.0,0.0002874237467156,0.0,0.0,0.0,0.0,0.0005089985296415,0.0,0.0,0.0,0.0006605484137385,0.0,0.0,0.0003253707997682,0.0002091269566553,0.0,0.0002589056262842,0.0,0.0002053381563749,0.0002913181948098,0.0001976338499002,0.0001292734477097,0.0003950401329679,0.0,0.0,0.0,0.0004554518526063,0.0002015232536195,0.0,0.0,0.0,0.0002190063545388,0.0,0.000225319992989,0.0,0.00020209813098,0.0,0.0002916420726151,0.0,0.0,0.0002444574128028,0.0,0.0003600428472012,0.0002427065815417,0.0,0.000200366064605,0.0,0.0003237247625631,0.0003124557763307,0.0003176629224025,0.0,0.0,0.0004790573791679,0.0002231000725665,0.0003045920636729,0.0,0.0003803742330401,0.0004130926790074,0.0,0.0002127631913607,0.0003714669145552,0.0,0.0002461396445485,0.0,0.0,0.0002089903248209,0.0,0.0,0.0,0.0,0.0002413209398768,0.0,0.0,0.0,0.0,0.0
msp_1724,0.0002350165288805,0.0,0.0,0.0003911848566749,0.0,0.0002806312618732,0.0003071181693195,0.0,0.0002172888467648,0.0003959187418572,0.0002463467503748,0.0,0.0003339518881517,0.0002834787558201,0.0003414686436485,0.0002974733097372,0.0,0.0,0.0003949564358783,0.0002259060006977,0.0,0.0003789353366275,0.000374784852345,0.0002715469143096,0.0003286851698928,0.0003030883164186,0.0003646602164738,0.0,0.000245652045362,0.0,0.0002801751258529,0.0,0.0,0.0,0.0,0.0002660416760066,0.0,0.0,0.0,0.0,0.0002232570407246,0.0,0.0003046328659311,0.0,0.0004292259691699,0.0002400453760767,0.0002207623425132,0.0002937549617395,0.0,0.0002705455029142,0.0,0.0003245146360216,0.0003553953410258,0.0,0.0003343524743797,0.0002559847682559,0.0002971917344579,0.0003482116056771,0.0,0.0002761758859103,0.0002816966911272,0.0,0.0002741737672991,0.0,0.0,0.0003197472784753,0.0,0.0002839760050031,0.0002485849260781,0.0004666409598091,0.0003254594629839,0.0009142678234405,0.0,0.0005872267039261,0.0,0.0002519547333522,0.0,0.0002500689223835,0.0002199478574426,0.0005614395075883,0.0,0.0002713942810271,0.0002324970712621,0.0,0.0,0.0002476459594912,0.0002330148520217,0.0002204663184122,0.0002116798076516,0.000231473575204,0.0,0.0,0.0,0.0,0.0,0.0002251592649832,0.0001575613920034,0.0002470893789905,0.0003164263202089,0.0,0.0002597943009675,0.0002709121533452,0.0,0.0002297668141558,0.0,0.000247983462807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002110646940402,0.000315776887941,0.0003316757064036,0.0,0.0002643476142953,0.0002666561163622,0.0,0.0,0.0,0.0,0.0002724984352082,0.0002310696590095,0.0002477808245895,0.0,0.000221641431752,0.0003005324787029,0.000265760366042,0.0003398899183021,0.000306458423416,0.000252571720528,0.0002427761720454,0.0,0.0002452669873935,0.0,0.0003277072353443,0.0001946843162848,0.0002554814901874,0.0002854719988977,0.0,0.0002385805925508,0.0004373217997654,0.000280148797792,0.0002884584697643,0.0002653800089094,0.0,0.0003619644798613,0.0,0.0,0.0002047375072477,0.0002744816086273,0.0003929802889043,0.0,0.0,0.0002360953869602,0.0003128575325859,0.0,0.0,0.0003221333819544,0.0004378415631813,0.0002659541353012,0.0002202563542762,0.0,0.0002754029543588,0.0002986931142343,0.0,0.0002765605940964,0.0,0.0003771647251992,0.0003521502646127,0.001133332261756,0.0,0.0,0.0,0.000192627541497,0.0002719108348262,0.0,0.0002776984354898,0.0003119968077888,0.0002502791419811,0.0005365801505285,0.0,0.0,0.0,0.0002572069329445
